studentId;studentName;studentPhone;studentMail;previouslyFinishedThisSchool;discount;IT-field;englishLevel;weekendIsSuitable
11;Aya;+17505151011;aya@probe.com;true;10;PM;A1_BASIC;true
12;Bala;+17505151012;bala@probe.com;false;0;PM;B1_INTERMEDIATE;true
13;Cor;+17505151013;cor@probe.com;true;10;PM;C1_ADVANCED;true
14;Dexter;+17505151014;dexter@probe.com;false;0;PM;C2_FLUENT;false
15;Eva;+175065646015;eva@probe.com;true;10;PM;A2_PRE_INTERMEDIATE;false
16;Finn;+175090784016;finn@probe.com;false;0;PM;B2_UPPER_INTERMEDIATE;false
17;Grace;+175020234017;grace@probe.com;true;10;PM;C1_ADVANCED;false
18;Harper;+175064537018;harper@probe.com;false;0;PM;C2_FLUENT;true
19;Isaac;+175036264019;isaac@probe.com;false;0;PM;B1_INTERMEDIATE;false
20;Ivy;+175074003020;ivy@probe.com;false;0;PM;A1_BASIC;true
21;Jack;+175046998021;jack@probe.com;false;0;PM;A2_PRE_INTERMEDIATE;false
22;Liam;+175048372022;liam@probe.com;false;0;PM;C1_ADVANCED;true
23;Lily;+175096043023;lily@probe.com;false;0;PM;C2_FLUENT;false
24;Mia;+175033967024;mia@probe.com;true;10;PM;C2_FLUENT;true
25;Noah;+175096353025;noah@probe.com;true;10;PM;B1_INTERMEDIATE;false
26;Olivia;+175080223026;olivia@probe.com;true;10;PM;B2_UPPER_INTERMEDIATE;false
27;Owen;+175094115027;owen@probe.com;false;0;PM;A1_BASIC;true
28;Penny;+175038031028;penny@probe.com;true;10;PM;A2_PRE_INTERMEDIATE;false
29;Quinn;+175095688029;quinn@probe.com;false;0;PM;C1_ADVANCED;false
30;Ryan;+175096143030;ryan@probe.com;true;10;PM;A1_BASIC;false
31;Sophia;+175052544031;sophia@probe.com;false;0;PM;A2_PRE_INTERMEDIATE;false
32;Samuel;+175079877032;samuel@probe.com;false;0;PM;A2_PRE_INTERMEDIATE;true
33;Sara;+175094432033;sara@probe.com;true;10;PM;C2_FLUENT;true
34;Thomas;+175086225034;thomas@probe.com;false;0;PM;C2_FLUENT;false
35;Victoria;+175077979035;victoria@probe.com;false;0;PM;A2_PRE_INTERMEDIATE;false
36;William;+175032073036;william@probe.com;false;0;PM;C1_ADVANCED;true
37;Xander;+175069422037;xander@probe.com;true;10;PM;C1_ADVANCED;false
38;Yara;+175063311038;yara@probe.com;false;0;PM;A1_BASIC;true
39;Zoe;+175091158039;zoe@probe.com;true;10;PM;A1_BASIC;false
40;Zachary;+175050802040;zachary@probe.com;false;0;PM;B1_INTERMEDIATE;false
250;Jannet;+17505151250;jannet@probe.com;false;0;Dev;A2_PRE_INTERMEDIATE;true
251;Kirk;+17505151251;kirk@probe.com;true;10;Dev;B2_UPPER_INTERMEDIATE;true
252;Lilly;+17505151252;lilly@probe.com;false;0;Dev;C2_FLUENT;false
253;Mason;+17505151253;mason@probe.com;false;0;Dev;B1_INTERMEDIATE;false
254;Nina;+17505151254;nina@probe.com;true;10;Dev;A2_PRE_INTERMEDIATE;true
255;Oliver;+17505151255;oliver@probe.com;true;10;Dev;A1_BASIC;false
256;Piper;+17505151256;piper@probe.com;false;0;Dev;C2_FLUENT;false
257;Quincy;+17505151257;quincy@probe.com;true;10;Dev;A1_BASIC;true
258;Reese;+17505151258;reese@probe.com;false;0;Dev;B1_INTERMEDIATE;false
259;Samson;+17505151259;samson@probe.com;false;0;Dev;C1_ADVANCED;true
260;Trinity;+17505151260;trinity@probe.com;true;10;Dev;B2_UPPER_INTERMEDIATE;true
261;Uriel;+17505151261;uriel@probe.com;false;0;Dev;C2_FLUENT;false
262;Violet;+17505151262;violet@probe.com;false;0;Dev;A2_PRE_INTERMEDIATE;true
263;Weston;+17505151263;weston@probe.com;true;10;Dev;B1_INTERMEDIATE;false
264;Xena;+17505151264;xena@probe.com;false;0;Dev;C1_ADVANCED;false
265;Yara;+17505151265;yara@probe.com;true;10;Dev;A1_BASIC;false
266;Zara;+17505151266;zara@probe.com;false;0;Dev;C2_FLUENT;true
267;Axel;+17505151267;axel@probe.com;true;10;Dev;B1_INTERMEDIATE;true
268;Bianca;+17505151268;bianca@probe.com;false;0;Dev;C1_ADVANCED;true
269;Connor;+17505151269;connor@probe.com;true;10;Dev;A1_BASIC;false
270;Diana;+17505151270;diana@probe.com;false;0;Dev;A2_PRE_INTERMEDIATE;true
271;Eli;+17505151271;eli@probe.com;false;0;Dev;C2_FLUENT;false
272;Fiona;+17505151272;fiona@probe.com;true;10;Dev;C1_ADVANCED;true
273;Gavin;+17505151273;gavin@probe.com;false;0;Dev;B2_UPPER_INTERMEDIATE;false
274;Holly;+17505151274;holly@probe.com;false;0;Dev;B1_INTERMEDIATE;false
275;Ivy;+17505151275;ivy@probe.com;true;10;Dev;A2_PRE_INTERMEDIATE;false
348;Peter;+17505151348;peter@probe.com;false;0;UIUX;A1_BASIC;true
349;Quark;+17505151349;quark@probe.com;true;10;UIUX;A2_PRE_INTERMEDIATE;true
350;Rachel;+17505151350;rachel@probe.com;false;0;UIUX;C1_ADVANCED;false
351;Samira;+17505151351;samira@probe.com;true;10;UIUX;A2_PRE_INTERMEDIATE;true
352;Travis;+17505151352;travis@probe.com;false;0;UIUX;B1_INTERMEDIATE;true
353;Ursula;+17505151353;ursula@probe.com;false;0;UIUX;C2_FLUENT;false
354;Victor;+17505151354;victor@probe.com;true;10;UIUX;A1_BASIC;false
355;Wendy;+17505151355;wendy@probe.com;true;10;UIUX;B2_UPPER_INTERMEDIATE;false
356;Xavier;+17505151356;xavier@probe.com;false;0;UIUX;C1_ADVANCED;true
357;Yara;+17505151357;yara@probe.com;true;10;UIUX;A2_PRE_INTERMEDIATE;false
358;Zane;+17505151358;zane@probe.com;false;0;UIUX;C2_FLUENT;true
359;Aria;+17505151359;aria@probe.com;true;10;UIUX;A1_BASIC;true
360;Bryce;+17505151360;bryce@probe.com;false;0;UIUX;B2_UPPER_INTERMEDIATE;false
361;Caleb;+17505151361;caleb@probe.com;false;0;UIUX;A1_BASIC;true
362;Diana;+17505151362;diana@probe.com;true;10;UIUX;C1_ADVANCED;false
363;Evan;+17505151363;evan@probe.com;false;0;UIUX;B1_INTERMEDIATE;false
364;Fiona;+17505151364;fiona@probe.com;false;0;UIUX;C2_FLUENT;true
